epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.1395,1.58792,4.98215,0.99492,0.0031,0.91176,0.00752,0.00268,2.0113,4.60013,0.95347,0.00012,0.00012,0.00012
2,143.658,1.61629,3.65382,0.97406,0.00313,0.92157,0.0125,0.00415,2.11798,4.64755,1.02666,0.000257426,0.000257426,0.000257426
3,207.432,1.51024,2.79156,0.9126,0.00287,0.84314,0.01061,0.00389,1.93002,4.6578,0.97896,0.00039208,0.00039208,0.00039208
4,267.892,1.51347,2.71153,0.97413,0.00313,0.92157,0.01136,0.00423,1.72353,4.44217,0.9319,0.000523962,0.000523962,0.000523962
5,328.391,1.52985,2.32663,0.91,0.00327,0.96078,0.00991,0.00462,1.57924,4.38918,0.9172,0.000653072,0.000653072,0.000653072
6,388.043,1.4913,2.1175,0.92872,0.00317,0.93137,0.00769,0.00255,1.75775,4.49848,0.9795,0.00077941,0.00077941,0.00077941
7,449.468,1.65082,2.24306,0.97819,0.00313,0.92157,0.00733,0.00282,1.63213,4.38863,0.94537,0.000902976,0.000902976,0.000902976
8,510.904,1.63819,2.60563,0.95925,0.003,0.88235,0.00636,0.00216,1.62069,4.07608,0.9679,0.00102377,0.00102377,0.00102377
9,580.442,1.51391,2.00778,0.95004,0.0032,0.94118,0.00762,0.00303,1.81044,3.95788,1.0259,0.00114179,0.00114179,0.00114179
10,641.277,1.36521,1.90378,0.94613,0.0033,0.97059,0.00807,0.00319,1.78783,3.91555,1.0095,0.00125704,0.00125704,0.00125704
11,700.865,1.50843,1.85599,0.95756,0.00333,0.98039,0.01564,0.00714,1.53892,3.58215,0.99663,0.00136952,0.00136952,0.00136952
12,760.796,1.48879,1.74519,1.03145,0.0033,0.97059,0.46857,0.17713,2.04464,3.63494,1.06682,0.00147923,0.00147923,0.00147923
13,824.659,1.47261,1.67246,0.92415,0.00327,0.96078,0.62422,0.22347,1.96733,3.53005,1.07228,0.00158616,0.00158616,0.00158616
14,885.312,1.38627,1.64013,0.94211,0.59702,0.83333,0.64113,0.20776,2.07734,3.25985,1.08879,0.00169032,0.00169032,0.00169032
15,945.316,1.37818,1.63051,0.9392,0.93436,0.55822,0.90039,0.38732,1.79813,2.80256,1.05706,0.0017228,0.0017228,0.0017228
16,1005.2,1.42222,1.67432,0.95367,0.71415,0.58784,0.55215,0.14704,2.51784,3.09137,1.21154,0.001703,0.001703,0.001703
17,1065.1,1.50402,1.62941,0.95382,0.67052,0.65686,0.54585,0.14817,2.6263,2.84693,1.27028,0.0016832,0.0016832,0.0016832
18,1125.2,1.41414,1.453,0.93635,0.9841,0.96078,0.98054,0.46243,1.74894,1.80293,1.07052,0.0016634,0.0016634,0.0016634
19,1184.87,1.45787,1.44281,0.92023,0.94958,0.94118,0.94171,0.33072,2.12911,1.849,1.13748,0.0016436,0.0016436,0.0016436
20,1244.42,1.31735,1.34388,0.916,0.98715,0.95098,0.98395,0.48426,1.68902,1.62926,1.04615,0.0016238,0.0016238,0.0016238
21,1303.35,1.29972,1.24638,0.93155,0.98125,0.91176,0.97038,0.48919,1.62718,1.61251,1.05507,0.001604,0.001604,0.001604
22,1362.26,1.31151,1.26808,0.90549,0.93333,0.82349,0.86889,0.36517,2.05345,1.99543,1.16977,0.0015842,0.0015842,0.0015842
23,1421.91,1.36395,1.30943,0.91917,0.92887,0.94118,0.96246,0.51581,1.55815,1.34411,0.99135,0.0015644,0.0015644,0.0015644
24,1481.38,1.25349,1.17551,0.90602,0.96037,0.95043,0.95881,0.48523,1.63055,1.30071,1.00222,0.0015446,0.0015446,0.0015446
